PID,PDFID,title,conf,folder,year,affil,authors,author_ids,keywords
79753E61,kdd10-d159,trust network inference for online rating data using generative models,kdd,kdd10,2010,singapore management university,eepeng lim|freddy chong tat chua,7F518C99|776D4706,statistics|probability|probabilistic model|social network|information system|human computer interface|gibbs sampling
798B14F4,kdd14-d136,topic factorized ideal point estimation model for legislative voting network,kdd,kdd14,2014,northeastern university,ting chen|yupeng gu|yizhou sun|ning jiang|bingyu wang,7E253528|8632C132|848A5B09|84712880|84847CF5,topic model
7890246E,kdd11-d61,fast coordinate descent methods with variable selection for non negative matrix factorization,kdd,kdd11,2011,university of texas at austin,inderjit s dhillon|chojui hsieh,793344FC|80083811,nonnegative matrix factorization|text mining|variable selection|image processing|objective function|convergence|least square|non negative matrix factorization|dimension reduction|newton method
750DC3F6,kdd15-p1809,e commerce in your inbox product recommendations at scale,kdd,kdd15,2015,yahoo,mihajlo grbovic|doug sharp|vladan radosavljevic|nemanja djuric|narayan bhamidipati|varun bhagwan|jaikit savla,84C7E65B|7622C88A|77393DB4|7F2BD13A|4323C967|751602CA|7EE0BB7B,data mining
774397B4,kdd07-d0,a concept based model for enhancing text categorization,kdd,kdd07,2007,university of waterloo,fakhri karray|shady shehata|mohamed s kamel,7F8CAE91|77E0CBE6|78562979,statistical analysis|term frequency|concepts|indexation|error rate|graph representation
77ABB834,kdd05-d81,non redundant clustering with conditional ensembles,kdd,kdd05,2005,ibm,david gondek|thomas hofmann,7CB20E21|79CB49C1,generic algorithm
767AB1A1,kdd07-d48,exploiting duality in summarization with deterministic guarantees,kdd,kdd07,2007,university of hong kong,nikos mamoulis|panagiotis karras|dimitris sacharidis,792B5B69|73E84B9D|011FA885,dual problem|histograms|wavelets|efficiency|data mining|time complexity|space complexity
7EC06AFB,kdd12-d39,circle based recommendation in online social networks,kdd,kdd12,2012,polytechnic institute of new york university,xiwang yang|harald steck|yong liu,7905A176|7D79CC49|80DC9610,recommender system|collaborative filtering|recommender systems|social network
76BE694F,kdd08-d87,privacy preserving cox regression for survival analysis,kdd,kdd08,2008,siemens healthcare,sriram krishnan|r bharat rao|philippe lambin|romer rosales|glenn fung|shipeng yu|cary dehingoberije,84DA9C3E|829846DF|80E8CE44|7DADEFAA|7D82FAE8|7E7F3FFE|0C0EABEB,survival analysis|cox model|linear program|feature selection|data mining|cox regression
7D2E0BFA,kdd12-d58,discovering lag intervals for temporal dependencies,kdd,kdd12,2012,ibm,tao li|liang tang|larisa shwartz,7ED964CC|797DE9ED|7E24EC84,dependence analysis
80EDD50B,kdd03-d30,efficiently handling feature redundancy in high dimensional data,kdd,kdd03,2003,arizona state university,lei yu|huan liu,7E443432|7E811E4A,high dimensional data|redundancy|empirical study|feature selection|data mining
7668E038,kdd12-d204,the missing models a data driven approach for learning how networks grow,kdd,kdd12,2012,university of maryland college park,geet duggal|carl kingsford|rob patro|emre sefer|darya filippova|hao wang,3FC2AA1D|7E983DEE|6E82C405|84DF16DC|75A525BC|7E1E047F,probabilistic model|clustering coefficient|algorithms|degree distribution|null model
7C72E74B,kdd15-p1563,integrating vertex centric clustering with edge centric clustering for meta path graph analysis,kdd,kdd15,2015,lawrence livermore national laboratory,yang zhou|david buttler|ling liu,7AAA9651|8548DB7B|7EB80123,na
7BDD64D2,kdd13-d67,extracting social events for learning better information diffusion models,kdd,kdd13,2013,university of illinois at chicago,qingbo hu|shuyang lin|philip s yu|fengjiao wang,7EAA8442|7D7E16BE|805800E4|7CF7CED9,social influence
753CB37E,kdd11-d139,stackelberg games for adversarial prediction problems,kdd,kdd11,2011,university of potsdam,tobias scheffer|michael bruckner,7ED72CB1|75B7B650,service provider|prediction model|stackelberg game|optimization problem|stackelberg competition
