PID,PDFID,title,conf,folder,year,affil,authors,author_ids,keywords
7B7869AF,kdd07-d46,estimating rates of rare events at multiple resolutions,kdd,kdd07,2007,yahoo,deepak agarwal|andrei broder|mayssam sayyadian|vanja josifovski|deepayan chakrabarti|dejan diklic,734BBEDB|82817E59|148B86FB|798EDA37|7DB4723E|756D5165,maximum entropy|clickthrough rate|internet advertising|sampling methods|markov model|tree structure|imputation|sparse data|hierarchy
7FBCE3EB,kdd09-d108,mining social networks for personalized email prioritization,kdd,kdd09,2009,kaist,shinjae yoo|frank lin|yiming yang|ilchul moon,80B39721|7F1248B3|7EF88125|80FBD1DB,text mining|relative error|data collection|social network|transductive learning
75EE664A,kdd03-d10,algorithms for estimating relative importance in networks,kdd,kdd03,2003,university of california irvine,scott r white|padhraic smyth,80DDC8C7|80A47A25,graph theory|markov chain|data analysis|graphs|biological network|markov model|markov chains|social network|social networks
7AE4E1EC,kdd03-d56,maximizing the spread of influence through a social network,kdd,kdd03,2003,cornell university,eva tardos|jon kleinberg|david kempe,77C325D9|7F636819|0C915F07,approximation algorithms|optimization problem|word of mouth|social network|computer experiment|social networks|viral marketing|social network analysis
81789EAA,kdd12-d68,efficient frequent item counting in multi core hardware,kdd,kdd12,2012,eth zurich,jens teubner|pratanu roy|gustavo alonso,7EE1EE3D|7ECE1FFE|7BD1AD10,data mining|hardware architecture|data flow
81519991,kdd13-d101,link prediction with social vector clocks,kdd,kdd13,2013,university college dublin,bobo nick|padraig cunningham|conrad lee|ulrik brandes,49213053|7F8BE93D|8634B019|754DD9E1,preprint|social networks|online algorithms|recommender systems|vector clocks
7C93A6BD,kdd11-d107,online active inference and learning,kdd,kdd11,2011,new york university,josh attenberg|foster provost,7B1E4649|796A56BA,skewed distribution|active learning|machine learning|web pages|expected utility|working paper|density estimation|prediction model|online advertising|decision theory
7A53055F,kdd14-d112,reducing the sampling complexity of topic models,kdd,kdd14,2014,google,amr ahmed|alexander j smola|sujith ravi|aaron q li,830A9B8E|80623D64|803B659D|840CBD54,sampling|topic models|scalability
7D06E612,kdd04-d51,fast mining of spatial collocations,kdd,kdd04,2004,university of hong kong,xin zhang|yutao shou|nikos mamoulis|david w cheung,011FA885|82099D17|80B5E233|7600EDEC,transaction data|spatial database
06D0B1FC,kdd02-d68,multimedia knowledge integration summarization and evaluation,kdd,kdd02,2002,,shihfu chang|ana b benitez,801C5938|7E1615EA,graph theory|knowledge integration|bayesian network|bayesian learning
7F93CB4B,kdd05-d80,nomograms for visualizing support vector machines,kdd,kdd05,2005,,martin možina|ivan bratko|janez demsar|blaž zupan|aleks jakulin,072C62A4|75C75269|7520DDA3|664304F3|291869AA,theory|visualization|machine learning|nomogram|support vector machines|logistic regression|machine|odd ratio|computer and information science|support vector machine
752B4BA9,kdd15-p139,efficient algorithms for public private social networks,kdd,kdd15,2015,brown university,alessandro epasto|flavio chierichetti|silvio lattanzi|ravi kumar|vahab s mirrokni,7022524C|769A1304|7EA3D2C5|7C1F673A|08C66FF0,social networks|privacy
7AA3D292,kdd11-d128,sampling hidden objects using nearest neighbor oracles,kdd,kdd11,2011,yahoo,vibhor rastogi|ashwin machanavajjhala|nilesh dalvi|ravi kumar,7F5D1F8A|84468581|81A23DA8|7B995DCC,nearest neighbor|sample size|hidden web|sampling
7BC8F2E2,kdd12-d155,optimal exact least squares rank minimization,kdd,kdd12,2012,university of minnesota,shuo xiang|xiaotong shen|jieping ye|yunzhang zhu,775FB7B4|813406EC|8118A14E|7E74E972,loss function|global optimization|parameter estimation|multivariate analysis|least square|image reconstruction
7BCE6A28,kdd09-d68,exploring social tagging graph for web object classification,kdd,kdd09,2009,university of illinois at urbana champaign,rui li|qiaozhu mei|jiawei han|zhijun yin,7E7A3A69|811B187D|81D5477F|80F3F358,optimization|optimization problem|indexation
7978678B,kdd11-d83,learning to trade off between exploration and exploitation in multiclass bandit prediction,kdd,kdd11,2011,national institutes of health,rong jin|shijun wang|hamed valizadegan,7EC7C136|7FB76008|83DC65B2,multi class classification|empirical study
806B480A,kdd06-d51,generating semantic annotations for frequent patterns with context analysis,kdd,kdd06,2006,university of illinois at urbana champaign,chengxiang zhai|dong xin|qiaozhu mei|jiawei han|hong cheng,7E7A3A69|811B187D|80D9C0A8|80509AFE|76B1EE27,context model|pattern|data mining|semantic similarity
75E13D01,kdd15-p2059,an architecture for agile machine learning in real time applications,kdd,kdd15,2015,,johann schleiersmith,84A78C32,machine learning|recommender systems|agile
7AD0CFCB,kdd14-d31,crowdsourced time sync video tagging using temporal and personalized topic modeling,kdd,kdd14,2014,hong kong university of science and technology,ben tan|erheng zhong|bin wu|qiang yang|andrew horner,7D526203|7FB64F7B|7DB54482|7DA6F7AB|8105AFB0,crowdsourcing|topic modeling
